Customer_Name,Customer_Type,Gender,Age
Robert Mcdaniel,Homemaker,M,45
Nicholas Washington,Middle-Aged,M,42
Richard Huynh,Young Adult,M,22
Kathryn Brooks,Teenager,F,13
Christopher Wright,Teenager,M,18
Robert Scott,Teenager,M,17
Laura Schmidt,Retiree,F,76
Edward Fernandez,Senior Citizen,M,63
Daisy Cain,Professional,F,52
Krystal Young,Homemaker,F,24
Anna Richard,Homemaker,F,25
Cheryl Solis,Professional,F,39
Timothy Lane,Homemaker,M,59
Peter Cruz,Middle-Aged,M,60
Taylor Everett,Retiree,M,63
Carla Smith,Homemaker,F,57
Vanessa Myers,Student,F,7
Joseph Roberts,Retiree,M,78
Donna Fitzgerald,Teenager,F,18
Brittany Ward,Homemaker,F,39
Dennis Richardson,Student,M,10
Misty Pena,Retiree,F,64
Brenda Garcia,Student,F,5
Ryan Newman,Middle-Aged,M,58
Tiffany Kelley,Senior Citizen,F,76
Seth Walker,Professional,M,47
Monica Terrell,Senior Citizen,F,62
Victoria Scott,Senior Citizen,F,71
Steven Jackson MD,Professional,M,39
Martin Love,Middle-Aged,M,60
David Mcclure,Retiree,M,66
Austin Deleon,Young Adult,M,19
Tina Mooney,Retiree,F,78
Melinda Crawford,Student,F,18
Caleb Booth,Senior Citizen,M,60
Louis Donovan,Student,M,16
Kelli Fitzpatrick,Middle-Aged,F,45
John Henderson DDS,Middle-Aged,M,47
Kenneth Short,Senior Citizen,M,77
Jacqueline Perez,Middle-Aged,F,57
Julie Bowen,Teenager,F,18
Aaron Davis,Young Adult,M,26
Isabella Cooper,Homemaker,F,30
Christie Ibarra,Homemaker,F,29
Douglas Wise,Retiree,M,75
Donald Gilbert,Young Adult,M,22
Brandon Chen,Professional,M,49
Mark Lynch,Middle-Aged,M,51
Mary Tanner,Teenager,F,14
Karen Davidson,Middle-Aged,F,45
Ian Price,Middle-Aged,M,52
Sarah Vasquez,Homemaker,F,55
Leslie Graves,Teenager,F,17
Christopher Garcia,Retiree,M,78
Emily Martin,Young Adult,F,22
Alicia Lawson,Student,F,9
Beth Martinez,Teenager,F,15
Ann Daugherty,Student,F,16
Scott Smith,Middle-Aged,M,58
Sharon Norman,Homemaker,F,58
Jamie Bautista,Teenager,M,18
Elizabeth Smith,Teenager,F,18
Brenda Chavez,Senior Citizen,F,74
Mary Hall,Professional,F,34
Jessica Wade DVM,Middle-Aged,F,55
Kimberly Williams,Student,F,14
Brian Campos,Middle-Aged,M,46
Ryan Bailey,Senior Citizen,M,73
Jasmine Jones,Homemaker,F,43
Lynn Smith,Retiree,F,71
James Ramirez,Homemaker,M,53
Stacy Ballard,Teenager,F,13
Dr. Jerry Massey,Homemaker,M,58
Marcus Smith,Student,M,16
Jessica Rodriguez,Homemaker,F,43
Heather Hunter,Senior Citizen,F,64
Felicia Miller,Young Adult,F,30
Benjamin Dyer,Middle-Aged,M,56
Tammy Cabrera,Senior Citizen,F,69
Teresa Ponce,Senior Citizen,F,66
Karen Thompson,Student,F,7
Jenna Barnett,Retiree,F,65
Sonya Smith,Senior Citizen,F,63
Renee Ramos,Student,F,13
Nicole Scott,Homemaker,F,31
Anthony Haynes,Young Adult,M,29
Edward Shelton,Homemaker,M,37
Rachel Potts,Senior Citizen,F,80
Jackson Simpson,Teenager,M,16
Larry Hoffman,Middle-Aged,M,60
John Stout,Professional,M,30
Evan Casey,Senior Citizen,M,80
Jeanne Kennedy,Homemaker,F,37
James Morse,Young Adult,M,18
Derrick Fernandez,Young Adult,M,24
Veronica Perry,Homemaker,F,31
Cody Sanchez,Young Adult,M,24
Alexandria Roberts,Homemaker,F,42
Sarah Wheeler,Teenager,F,19
Tara Gordon,Young Adult,F,18
Ms. Stephanie Thompson,Professional,F,41
Katrina Franklin,Retiree,F,61
Brittney Johnson,Professional,F,47
Timothy Jones,Teenager,M,14
Colleen Daniels,Teenager,F,17
Rachel Jacobs,Homemaker,F,55
Jason Hawkins,Senior Citizen,M,68
Zachary Gardner,Teenager,M,17
Gregory Torres,Young Adult,M,22
Frederick Hernandez,Professional,M,42
Stephanie Diaz,Student,F,18
Mrs. Brittany Snyder,Retiree,F,71
Mason Rodriguez,Teenager,M,13
Brian Allen,Homemaker,M,39
Sarah Salas,Retiree,F,77
Paul Patterson,Teenager,M,14
Kristin Simmons,Student,F,16
Peter Mathis,Senior Citizen,M,77
Traci Smith,Teenager,F,15
Brandi Mcguire,Homemaker,F,20
Jesse Davis,Professional,M,45
Jennifer Gonzalez,Young Adult,F,23
Leah Rice,Student,F,8
Danielle Holt,Senior Citizen,F,60
Donna Williams,Young Adult,F,25
Benjamin Wagner,Homemaker,M,35
Justin Harris,Retiree,M,74
Dawn Yu,Teenager,F,14
Joseph Young,Teenager,M,17
Dylan Bradley,Middle-Aged,M,48
Shannon Meyer,Senior Citizen,F,62
Nathan Morris,Retiree,M,72
Steven Anderson,Retiree,M,61
Mrs. Isabel Montoya DVM,Retiree,F,69
Virginia Tanner,Retiree,F,63
Christina Brooks,Teenager,F,15
Ann Richard,Homemaker,F,30
Kevin Snyder,Senior Citizen,M,60
Tracy Shelton,Young Adult,F,26
Ethan Ingram,Retiree,M,67
Daniel Holland,Professional,M,43
Sydney Henry,Teenager,M,18
Shawn Smith,Retiree,M,78
Edgar Larsen,Homemaker,M,41
Jessica Pena,Teenager,F,15
Lawrence Wilson,Senior Citizen,M,60
Teresa Brooks,Retiree,F,80
Pamela Taylor,Student,F,12
Jeremy Chambers,Teenager,M,14
Emily King,Professional,F,43
Shane Campbell,Professional,M,37
Robert Oneill,Teenager,M,18
Jose Kelly,Middle-Aged,M,52
Rachel Reyes,Young Adult,F,18
Elizabeth Davis,Homemaker,F,32
Victor Frank,Middle-Aged,M,41
Andrew Stafford,Homemaker,M,43
Cheryl Kelley,Middle-Aged,F,60
Thomas Bishop,Student,M,16
Amy Lawson MD,Teenager,F,15
Brian Castro,Middle-Aged,M,51
Jennifer Brock,Professional,F,35
Kimberly Holden,Retiree,F,76
Jill Allen,Student,F,17
Patricia Rowe,Homemaker,F,48
David Johnson,Middle-Aged,M,49
Steven Guerrero,Teenager,M,15
Krista Harris,Teenager,F,19
Julie Lindsey,Senior Citizen,F,71
Angel Johnson,Homemaker,F,26
Charles Taylor,Senior Citizen,M,80
Stephanie Smith,Professional,F,40
Darrell Saunders,Professional,M,38
Brent Brown,Middle-Aged,M,40
Stephanie Tran,Teenager,F,15
Christopher Harris,Young Adult,M,19
Rose Williams,Homemaker,F,53
Ryan Owens,Middle-Aged,M,40
Joan Watson,Teenager,F,14
Melissa Hernandez,Middle-Aged,F,47
Brandy Hutchinson,Student,F,13
Roger Holloway,Professional,M,34
Wayne French DVM,Homemaker,M,24
Michael Martinez,Young Adult,M,22
Adam Hall,Homemaker,M,34
Anthony Valenzuela,Retiree,M,70
Samantha Nguyen,Teenager,F,15
Kara Fuller,Senior Citizen,F,66
Sara Rivers,Homemaker,F,38
Shelby Allen MD,Young Adult,F,23
Brenda Black,Student,F,16
Matthew Davis,Professional,M,47
Carl Thomas,Retiree,M,72
Randy Allen,Young Adult,M,27
Alex King,Professional,M,30
Diane Garcia,Senior Citizen,F,71
Thomas Vance,Young Adult,M,19
Shane Davis,Professional,M,37
Debra Anderson,Retiree,F,65
Derrick Beck,Young Adult,M,19
Daisy Weaver,Student,F,15
Rebecca Jones,Senior Citizen,F,60
Jordan Mcdaniel,Student,M,5
Jennifer Nicholson,Teenager,F,13
Taylor Anderson,Middle-Aged,M,56
James Hartman,Young Adult,M,28
Christine Brown,Retiree,F,60
Brooke Lawrence,Teenager,F,15
Diane Scott,Homemaker,F,33
Barbara Allen,Retiree,F,63
Wendy White,Senior Citizen,F,69
Mrs. Stephanie Spencer,Student,F,18
Sheri Lyons,Homemaker,F,28
Jessica James,Professional,F,55
Heather Mills,Middle-Aged,F,49
Kenneth Barnes,Homemaker,M,36
Michael Stein,Homemaker,M,47
Jesse Lewis,Senior Citizen,M,79
Jenny Larson,Professional,F,49
William Anderson,Retiree,M,70
Alice Moore,Professional,F,39
Dr. Kenneth Anderson,Professional,M,47
Brandon Smith,Homemaker,M,36
Jesse Faulkner,Professional,M,34
Michael Stevens,Young Adult,M,22
Elizabeth Morgan,Middle-Aged,F,46
Michael Riley,Senior Citizen,M,60
Donald Francis,Student,M,9
Garrett Hayden,Professional,M,41
Kevin Young,Young Adult,M,28
Shannon Garcia,Middle-Aged,F,50
David Williamson,Young Adult,M,19
Theresa Ballard,Senior Citizen,F,60
Michael Taylor,Teenager,M,19
Scott Hall,Teenager,M,13
Mrs. Kara Brown,Senior Citizen,F,70
Larry Burnett,Senior Citizen,M,80
Theresa Daniel,Young Adult,F,24
Terry Hughes,Senior Citizen,M,68
Christine Johnson,Professional,F,38
Daniel Nichols,Homemaker,M,56
Brittany Lynch,Young Adult,F,22
Kevin Wilson V,Retiree,M,77
Paul Smith,Student,M,6
Joseph Jacobs,Professional,M,41
Sara Gray,Senior Citizen,F,79
Lisa Johnson,Middle-Aged,F,53
Paul Hernandez,Homemaker,M,39
Brian Charles,Professional,M,38
Andrea Garcia,Teenager,F,16
Brian Mccall,Professional,M,44
Jeffery Murphy,Professional,M,38
Kenneth Allen,Teenager,M,16
Angela Ramirez,Senior Citizen,F,66
Meagan Reynolds,Professional,F,47
Amanda Walker,Homemaker,F,55
Diane Frye,Homemaker,F,40
Jacqueline Lee,Homemaker,F,46
William Stone,Student,M,13
Kimberly Lane,Young Adult,F,26
Sheila Jackson,Retiree,F,75
Donna Aguilar,Young Adult,F,19
Daniel Weaver,Student,M,11
Anita Wilson,Homemaker,F,20
Hailey Patterson,Homemaker,F,28
Karen Sheppard,Student,F,15
Jonathan Andrews,Senior Citizen,M,76
Andrea Lowe,Young Adult,F,28
Zoe Brown,Retiree,F,67
Steven Michael,Professional,M,43
James Green,Teenager,M,14
Jose Thompson,Retiree,M,60
Elizabeth Webster,Homemaker,F,52
Jonathon Morton,Retiree,M,65
Jennifer Nguyen,Student,F,15
Andrea Anderson,Middle-Aged,F,58
Christopher Maldonado,Professional,M,44
Ryan Carroll,Homemaker,M,35
Denise King,Homemaker,F,59
Juan Murray,Middle-Aged,M,55
Pamela Douglas,Professional,F,54
William Mcclain,Teenager,M,16
Amy Pena,Young Adult,F,21
Diane Wright,Senior Citizen,F,65
Robert Haynes,Professional,M,32
Jason Jones,Student,M,10
Angela Rubio,Student,F,12
Megan Huber,Professional,F,50
Derrick Dalton,Student,M,10
Michael Harris,Homemaker,M,58
Miguel Morrow,Teenager,M,17
Gina Morris,Professional,F,31
Cory Hughes,Senior Citizen,M,78
John Smith,Teenager,M,19
Cameron Edwards,Young Adult,M,27
Jeffery James,Senior Citizen,M,67
James Williams,Middle-Aged,M,51
Kim Rivera,Senior Citizen,F,70
Brenda Perez,Student,F,17
Carrie Sandoval,Senior Citizen,F,69
Melissa Cowan,Professional,F,32
Lauren Mejia,Homemaker,F,36
Stephen Medina,Middle-Aged,M,46
Tracy Haas,Middle-Aged,F,41
James Thomas,Senior Citizen,M,63
Mr. Shane Price,Middle-Aged,M,43
Christina Young,Professional,F,51
Laura Thompson,Student,F,18
Julie Abbott,Homemaker,F,49
Faith Tapia,Middle-Aged,F,42
Thomas Gomez,Young Adult,M,30
Marcus Maxwell DDS,Professional,M,31
Catherine Davidson,Senior Citizen,F,69
Jordan Wells,Homemaker,M,26
Brett Pearson,Young Adult,M,27
Andrea Adams,Retiree,F,76
Shawn Ryan,Professional,M,45
Dustin Campbell,Homemaker,M,20
Yolanda Jackson,Middle-Aged,F,53
Mary Thornton,Student,F,8
Anthony Knapp,Senior Citizen,M,65
Elizabeth Wilcox,Homemaker,F,43
Gregory Evans,Senior Citizen,M,78
Kimberly Andrews,Professional,F,52
Michael Lopez,Student,M,15
Aaron Morgan,Middle-Aged,M,48
Kevin Glass,Retiree,M,67
Marvin Day,Professional,M,46
Douglas Hicks,Student,M,7
Anthony Sims,Student,M,9
Tracey Montoya,Homemaker,F,52
Kelly Tran,Student,F,15
Eric Gray,Student,M,17
Alexander Maldonado,Homemaker,M,46
Mrs. Kimberly Johnson,Student,F,9
Darlene Harris,Senior Citizen,F,68
Barry Palmer,Professional,M,33
Andrew Lawrence,Teenager,M,13
Joann Hopkins,Professional,F,50
Andrea Stevens,Student,F,5
Jeremy Tanner,Homemaker,M,40
Sabrina Hill,Middle-Aged,F,56
Melissa Cooper,Young Adult,F,30
Susan Patterson,Professional,F,54
Amanda Thomas,Retiree,F,60
Dwayne Perez,Student,M,11
Megan Proctor,Homemaker,F,60
Joseph Hall,Young Adult,M,21
Molly Wood,Teenager,F,13
Michael Green,Retiree,M,75
Jessica Perez,Student,F,14
Keith Thompson,Young Adult,M,28
Jay Vang,Homemaker,M,42
Elizabeth Knapp,Professional,F,43
Michael Mcneil,Professional,M,38
Rachel Cook,Senior Citizen,F,64
Christine Fleming,Young Adult,F,24
James Hernandez,Senior Citizen,M,66
Bailey Greene,Young Adult,F,19
Andrew Miller,Homemaker,M,53
Laura Smith,Professional,F,35
Shelia Pittman,Student,F,11
John Campbell Jr.,Senior Citizen,M,78
James Wagner,Middle-Aged,M,55
Miguel Johnson MD,Professional,M,36
Jennifer Hampton,Teenager,F,15
Kenneth Hodges,Senior Citizen,M,63
Jennifer Shannon,Young Adult,F,24
Eric Hughes,Middle-Aged,M,51
Kim Cummings,Professional,F,51
Stephanie Thomas,Teenager,F,18
Christine Williams,Professional,F,30
Kenneth Love,Senior Citizen,M,64
Jonathan Knight,Professional,M,38
Ms. Christina Duncan,Teenager,F,17
Theresa Collins,Middle-Aged,F,51
Michael Jones,Professional,M,43
Paula Obrien,Teenager,F,19
Morgan Young,Student,M,10
Charles Blankenship,Retiree,M,78
Denise Bartlett,Young Adult,F,20
Shawn Matthews,Teenager,M,14
Jennifer Park,Middle-Aged,F,42
Kyle Ramirez,Young Adult,M,25
James Black,Professional,M,31
Paul Ross,Young Adult,M,27
Robert Vazquez,Young Adult,M,23
Tony Dixon,Homemaker,M,57
Mr. James Sullivan Jr.,Senior Citizen,M,61
Rebecca Marshall,Senior Citizen,F,63
Erica Dudley,Teenager,F,16
Craig Jones,Student,M,17
Brian Lewis,Young Adult,M,25
Sarah Clark,Senior Citizen,F,67
Austin Bean,Professional,M,32
Haley Combs,Retiree,F,65
Jonathan Cline,Retiree,M,60
Rachel Wilcox,Middle-Aged,F,41
Gina Wagner,Homemaker,F,43
Marcus Collins,Teenager,M,13
Jamie Simmons,Student,M,8
Justin Flores,Teenager,M,16
Kathleen Campbell,Student,F,14
Rhonda Robinson,Senior Citizen,F,68
Renee Zimmerman,Professional,F,52
Amanda Moore,Senior Citizen,F,74
Olivia Mitchell,Teenager,F,15
Cassandra Allen,Retiree,F,66
Christopher Morris,Homemaker,M,26
Amanda Thompson,Student,F,12
Charles Smith,Professional,M,54
Amy Green,Homemaker,F,53
Jason Crawford,Middle-Aged,M,55
Vicki Russell,Professional,F,40
Jennifer Howell,Student,F,18
Edgar Gonzalez,Senior Citizen,M,65
Robert Bell,Student,M,6
Melissa Santiago,Student,F,17
Matthew Khan,Middle-Aged,M,50
Darren Brown,Teenager,M,14
Stacy Koch,Middle-Aged,F,55
Carla Gay,Young Adult,F,18
Bobby Webb,Professional,M,54
Tamara Moon,Senior Citizen,F,75
Frank Dominguez,Teenager,M,14
Heather Huffman,Professional,F,54
Tommy Walter,Middle-Aged,M,58
Tammy Pearson,Homemaker,F,20
Amanda Perez,Homemaker,F,52
Kelly Caldwell,Student,F,8
David Fisher,Homemaker,M,58
Alicia Wilson,Middle-Aged,F,41
Robert Cox,Student,M,10
Jeffery Freeman,Teenager,M,15
Mario Smith,Middle-Aged,M,45
Donald Chambers,Student,M,9
Lisa Barrera,Homemaker,F,33
Robert Smith,Middle-Aged,M,52
Christina Ferguson,Student,F,17
Isaac Hansen,Student,M,11
Alex Smith,Homemaker,M,21
Rhonda Collins,Student,F,16
Julie Garcia,Young Adult,F,25
Colin Burnett,Retiree,M,62
Dana Moore,Student,F,5
Douglas Hendrix,Professional,M,51
Martin Smith,Teenager,M,19
Jeffrey Rodriguez,Professional,M,44
Christopher Vasquez,Retiree,M,62
Rebecca Hoover,Senior Citizen,F,76
Joseph Smith,Young Adult,M,28
Ana Adams,Senior Citizen,F,61
Chad Lindsey,Professional,M,53
Michele Meyer,Homemaker,F,36
Sara Hawkins,Young Adult,F,22
Dylan Johnson,Young Adult,M,29
Erika Burton,Senior Citizen,F,71
Thomas Duran,Teenager,M,16
Mr. Brian Mann DDS,Homemaker,M,59
Daniel Adkins,Senior Citizen,M,73
Carla Mason,Teenager,F,15
Alison Morris,Middle-Aged,F,57
Thomas Marquez,Retiree,M,78
Mathew Evans,Middle-Aged,M,52
Alec Gonzales,Middle-Aged,M,57
April Powell,Homemaker,F,46
Susan Miller,Young Adult,F,28
Bradley Garrett,Young Adult,M,27
Cameron Townsend,Senior Citizen,F,60
Joann Miller,Retiree,F,72
Phillip Olson,Retiree,M,72
Brianna Hicks,Professional,F,53
Brian Mitchell,Senior Citizen,M,64
Elizabeth Howard,Retiree,F,70
Brandon Lane,Middle-Aged,M,50
Donna Soto,Professional,F,38
Ashley Pittman,Professional,F,52
Anita Campbell,Middle-Aged,F,48
James Martinez,Homemaker,M,38
Dominique Johnson,Retiree,M,63
Reginald Gray,Professional,M,48
Raven Thomas,Middle-Aged,F,51
Ann Roman,Teenager,F,18
Kenneth Gonzales,Young Adult,M,28
Joshua Brady,Young Adult,M,27
Jeanne Flores,Retiree,F,63
Makayla Rivera,Middle-Aged,F,40
Michael Morton,Young Adult,M,27
Michelle Johnson,Senior Citizen,F,71
Matthew Gutierrez,Homemaker,M,39
Jacqueline Griffin,Middle-Aged,F,53
Jenna Martin,Young Adult,F,25
Curtis Ryan,Middle-Aged,M,58
Willie Phillips,Senior Citizen,M,71
Mrs. Teresa Strickland,Senior Citizen,F,80
Rebekah Cox,Student,F,17
Julie Avery MD,Student,F,6
Anne Barton,Young Adult,F,18
Joan Davis,Senior Citizen,F,63
Amy Jones,Homemaker,F,30
Lisa Andrews,Student,F,6
Samuel Martinez,Retiree,M,71
Jessica Clark,Teenager,F,14
Kevin Jackson,Young Adult,M,23
Lori Hall,Young Adult,F,22
Calvin Hester,Senior Citizen,M,75
Cassie Moreno,Retiree,F,73
Heather Marks,Student,F,15
Carolyn Brown,Senior Citizen,F,67
Jessica Chambers,Young Adult,F,29
Joseph Cole,Homemaker,M,58
Bryce Huff,Senior Citizen,M,78
John Snyder,Retiree,M,72
Veronica Luna,Retiree,F,73
Marc Anderson,Teenager,M,17
Dr. Jordan Jackson,Teenager,M,13
Karina Alvarez,Young Adult,F,23
Kelly Hall,Middle-Aged,F,48
Christopher Walker,Senior Citizen,M,64
Kara Key,Student,F,10
Daniel Guzman,Teenager,M,17
Nathan Jackson,Young Adult,M,20
Carmen Luna,Young Adult,F,21
Carlos Watson,Senior Citizen,M,60
Linda Choi,Retiree,F,66
Dr. Jason Johnson Jr.,Teenager,M,15
Sara Williams,Professional,F,33
Erica Torres,Senior Citizen,F,72
Christopher David,Teenager,M,13
William Quinn,Professional,M,31
Vanessa Wheeler,Retiree,F,71
Virginia Mckee,Middle-Aged,F,43
David King,Retiree,M,69
Holly Kelly,Senior Citizen,F,75
Elizabeth Evans,Middle-Aged,F,56
Sharon Smith,Student,F,15
Stephen Jennings,Senior Citizen,M,70
Donna Harrison,Senior Citizen,F,72
Jessica Porter,Homemaker,F,21
Elizabeth Massey,Student,F,12
Jesse Elliott,Professional,M,38
Caitlin Hamilton,Teenager,F,19
Lucas Williams,Teenager,M,18
Eric Simon,Student,M,7
Tina Harvey,Homemaker,F,60
Meagan Bennett,Senior Citizen,F,66
Jose Neal,Senior Citizen,M,65
Bryan Ray,Homemaker,M,53
Keith Jackson,Student,M,10
Joshua Wright,Homemaker,M,55
Megan Davis,Senior Citizen,F,76
Karen Moses,Senior Citizen,F,71
Meagan Cole,Student,F,16
Tyler Martinez,Professional,M,39
Jose Shah,Teenager,M,16
Amy Powell,Retiree,F,79
Deborah Martin,Senior Citizen,F,73
Joseph Swanson,Student,M,18
Gabrielle Booker,Young Adult,F,22
Tracy Price,Teenager,F,16
Ms. Breanna Gaines,Retiree,F,62
Christine Cook,Senior Citizen,F,68
Kevin Jimenez,Young Adult,M,29
Brenda James,Student,F,12
Mr. Henry Watson DDS,Senior Citizen,M,71
Shane Mullins,Retiree,M,64
Patricia Richards,Homemaker,F,49
Sarah Carter,Professional,F,52
Jessica Taylor,Young Adult,F,18
Sandra Gutierrez,Retiree,F,74
Tonya Smith,Senior Citizen,F,75
Julie Singh,Senior Citizen,F,63
Lauren Skinner,Teenager,F,18
Wanda Curry,Retiree,F,75
Stephen Todd,Professional,M,36
Michael Farrell,Middle-Aged,M,49
Glenn Hill,Senior Citizen,M,80
Frank Castillo,Professional,M,30
Brian Brown,Teenager,M,19
Daniel Spencer,Senior Citizen,M,76
Carolyn Mills,Teenager,F,17
Nicholas Harrell,Senior Citizen,M,60
Stephanie Carlson,Middle-Aged,F,58
John Stephens,Student,M,11
David Jackson,Homemaker,M,30
Harry Thomas,Young Adult,M,30
Stephanie Byrd,Professional,F,44
Daniel Hubbard,Retiree,M,75
Jennifer Estrada,Student,F,7
Stephanie Ruiz,Young Adult,F,22
Rodney Mann,Professional,M,50
Stephanie Wallace,Student,F,8
David Chambers,Young Adult,M,20
Nicole May,Teenager,F,15
Amy Beck,Teenager,F,16
Catherine Owens,Homemaker,F,41
Michael Young,Senior Citizen,M,74
Katrina Patterson,Retiree,F,72
Scott Cunningham,Student,M,8
Shannon Davis,Middle-Aged,F,56
Taylor Wells,Professional,M,32
Deborah Perry,Teenager,F,19
Evelyn Lewis,Homemaker,F,34
Luis Taylor,Teenager,M,19
Nicholas Rogers,Professional,M,42
Justin Miller,Retiree,M,69
Luis Calhoun,Retiree,M,60
Stephen Galloway,Middle-Aged,M,41
Michael Smith MD,Retiree,M,70
Ricky Mack,Teenager,M,17
Kevin Hernandez,Senior Citizen,M,77
